Price,Close,High,Low,Open,Volume
Ticker,SMGR.JK,SMGR.JK,SMGR.JK,SMGR.JK,SMGR.JK
Date,,,,,
2025-02-18,2800.0,2850.0,2780.0,2800.0,7857500
2025-02-19,2830.0,2900.0,2750.0,2800.0,10829300
2025-02-20,2780.0,2850.0,2700.0,2830.0,12194100
2025-02-21,2790.0,2860.0,2720.0,2760.0,6247600
2025-02-24,2780.0,2860.0,2710.0,2760.0,7507200
2025-02-25,2790.0,2820.0,2730.0,2800.0,10101100
2025-02-26,2680.0,2790.0,2600.0,2780.0,10520700
2025-02-27,2590.0,2710.0,2590.0,2680.0,6046700
2025-02-28,2330.0,2600.0,2310.0,2590.0,21236700
2025-03-03,2340.0,2410.0,2290.0,2400.0,18668100
2025-03-04,2210.0,2370.0,2210.0,2340.0,29970700
2025-03-05,2270.0,2320.0,2140.0,2230.0,34627600
2025-03-06,2330.0,2380.0,2250.0,2270.0,28688700
2025-03-07,2360.0,2420.0,2350.0,2360.0,13484200
2025-03-10,2440.0,2480.0,2340.0,2350.0,18436100
2025-03-11,2330.0,2400.0,2300.0,2380.0,11714000
2025-03-12,2340.0,2370.0,2310.0,2320.0,10723700
2025-03-13,2330.0,2380.0,2270.0,2350.0,9211600
2025-03-14,2260.0,2310.0,2220.0,2310.0,8492600
2025-03-17,2260.0,2280.0,2210.0,2260.0,9282800
2025-03-18,2210.0,2360.0,2100.0,2280.0,17979300
2025-03-19,2230.0,2280.0,2200.0,2210.0,9172700
2025-03-20,2250.0,2270.0,2200.0,2250.0,6095400
2025-03-21,2120.0,2260.0,2120.0,2250.0,13888000
2025-03-24,2220.0,2240.0,2140.0,2150.0,9540600
2025-03-25,2510.0,2550.0,2240.0,2240.0,21358000
